1001,1791,Business,87201,11.4,36,2023-09-24
1002,1166,Home,1662001,17.42,24,2020-05-02
1003,701,Business,885750,17.39,60,2020-01-03
1004,1997,Personal,1333070,13.88,24,2021-08-11
1005,125,Auto,1348895,17.95,120,2020-04-26
1006,1262,Auto,1180273,8.05,36,2020-07-01
1007,1924,Home,676447,10.85,18,2023-02-22
1008,1321,Business,1956183,8.29,48,2021-07-13
1009,1818,Personal,1800626,16.29,36,2020-12-16
1010,255,Personal,679154,12.93,18,2021-04-06
1011,1243,Personal,1913063,14.83,60,2021-05-01
1012,185,Business,445102,15.27,36,2021-09-04
1013,1381,Personal,1492037,8.33,24,2024-10-09
1014,1599,Personal,1630870,17.4,60,2024-07-23
1015,463,Personal,940330,14.45,120,2024-05-10
1016,1754,Auto,184956,13.03,60,2021-03-26
1017,834,Auto,1331413,12.45,18,2024-11-09
1018,1832,Auto,1152073,11.38,24,2022-08-07
1019,1543,Auto,613671,9.75,60,2022-12-11
1020,727,Business,1159009,16.16,18,2022-12-27
1021,189,Home,1401547,13.11,24,2023-07-01
1022,1685,Business,1541985,13.44,120,2022-09-11
1023,1456,Personal,207663,13.5,24,2024-06-03
1024,932,Auto,333555,8.79,18,2021-09-25
1025,567,Personal,1072684,15.73,18,2021-09-25
1026,1482,Business,769115,9.04,60,2024-09-22
1027,299,Business,648580,11.31,18,2020-10-01
1028,1207,Auto,1222548,8.02,24,2023-05-05
1029,979,Auto,321269,17.13,24,2024-09-05
1030,332,Personal,1812961,11.81,48,2023-08-18
1031,184,Auto,1221236,8.54,120,2023-07-19
1032,179,Auto,539418,15.84,48,2024-07-22
1033,228,Business,850474,9.33,120,2024-09-01
1034,1636,Personal,1832318,17.33,48,2024-05-07
1035,861,Personal,303728,14.35,36,2022-01-06
1036,1624,Auto,1999387,12.84,120,2021-02-04
1037,1871,Home,706616,16.82,120,2023-09-08
1038,1197,Personal,1905090,15.05,48,2020-07-23
1039,1505,Personal,600908,14.51,48,2022-07-07
1040,792,Auto,302291,15.22,36,2022-08-26
1041,1116,Home,305423,17.08,60,2021-04-03
1042,693,Auto,696108,15.42,36,2024-06-07
1043,1536,Auto,1337201,8.99,24,2022-05-02
1044,1525,Personal,369902,16.1,24,2021-11-30
1045,1015,Personal,1191713,12.47,60,2022-08-04
1046,633,Auto,1266685,11.82,120,2022-07-19
1047,702,Home,859480,8.96,36,2024-09-25
1048,346,Auto,892679,17.93,36,2022-12-11
1049,1463,Personal,1963951,16.91,12,2022-08-13
1050,401,Personal,1601030,17.33,60,2020-08-16
1051,989,Personal,639642,10.39,60,2020-07-21
1052,1131,Auto,418365,14.28,36,2024-11-24
1053,250,Business,342660,16.69,18,2024-01-11
1054,1403,Auto,1634708,15.31,36,2020-08-12
1055,867,Business,547125,11.78,60,2021-01-12
1056,594,Home,759118,10.89,60,2020-11-03
1057,234,Home,195940,8.48,120,2020-04-20
1058,1648,Auto,288593,15.32,36,2023-10-06
1059,860,Personal,1253106,17.2,36,2020-03-13
1060,246,Personal,215357,14.78,60,2024-05-02
1061,1734,Auto,602189,12.39,36,2020-08-26
1062,768,Auto,392803,10.86,18,2020-04-07
1063,291,Home,677984,11.76,48,2022-05-12
1064,1405,Personal,1803578,17.32,36,2024-07-17
1065,1573,Personal,1515723,15.03,48,2024-10-02
1066,1159,Personal,559114,8.66,12,2023-10-22
1067,1499,Home,308757,12.45,24,2021-03-03
1068,421,Auto,142819,15.31,48,2023-03-01
1069,1221,Personal,725089,10.31,18,2024-07-08
1070,1585,Home,725132,11.55,120,2021-03-14
1071,1668,Personal,1225292,13.9,48,2023-10-24
1072,1936,Personal,1902980,14.85,12,2020-10-27
1073,39,Business,1813968,11.49,12,2020-07-31
1074,423,Auto,696953,10.54,24,2024-09-03
1075,450,Personal,770049,12.66,36,2021-02-05
1076,1051,Personal,1492150,13.48,120,2021-03-24
1077,102,Auto,569616,11.71,24,2021-03-30
1078,1250,Auto,204563,14.88,120,2021-11-02
1079,1205,Home,1356061,16.33,24,2023-04-20
1080,1131,Personal,303981,17.9,48,2023-06-14
1081,195,Business,1149679,15.75,24,2022-03-26
1082,531,Business,924646,13.54,60,2024-11-10
1083,1494,Home,1118629,8.77,12,2021-05-30
1084,1859,Home,1562478,14.6,60,2020-03-29
1085,457,Personal,1221743,12.09,48,2022-07-23
1086,1308,Business,1398115,14.96,48,2024-03-04
1087,1844,Personal,876155,12.33,24,2022-10-07
1088,1713,Business,922339,17.32,36,2021-05-10
1089,256,Business,453099,9.12,12,2021-11-06
1090,6,Auto,1116711,17.83,48,2024-06-23
1091,1473,Personal,895152,10.63,12,2022-08-21
1092,417,Business,1268662,14.14,12,2021-06-05
1093,1004,Personal,1346285,15.93,24,2020-09-25
1094,1015,Home,776153,14.08,24,2023-05-22
1095,413,Auto,1450965,11.48,12,2022-10-26
1096,1335,Business,295889,9.04,48,2023-05-29
1097,1350,Home,1469593,16.55,120,2022-12-11
1098,1977,Home,1297073,9.02,36,2021-09-29
1099,1145,Home,1598630,8.8,60,2020-06-13
1100,669,Personal,1212305,9.6,36,2022-04-04
1101,199,Auto,950259,9.45,12,2021-07-25
1102,1539,Home,1278212,9.93,48,2022-11-17
1103,919,Home,1155133,15.08,24,2024-02-03
1104,1562,Business,1631505,14.83,24,2023-04-17
1105,732,Auto,1940059,9.18,12,2023-11-02
1106,1486,Home,1458645,16.23,48,2022-06-04
1107,1533,Personal,1589764,13.52,48,2022-06-03
1108,899,Business,864968,8.32,12,2024-10-11
1109,53,Personal,274932,11.09,60,2022-01-28
1110,1720,Personal,633577,9.33,36,2020-01-10
1111,1053,Auto,285230,10.7,24,2024-01-07
1112,1712,Home,605794,17.56,120,2024-06-23
1113,684,Business,1360882,16.64,36,2020-02-10
1114,110,Auto,1548032,9.14,120,2022-01-24
1115,787,Business,663461,14.52,24,2022-10-23
1116,416,Home,1822893,14.89,12,2022-09-14
1117,1313,Personal,155543,16.38,48,2021-10-27
1118,890,Business,1878003,9.38,120,2024-10-22
1119,1116,Auto,1146645,9.26,48,2021-11-13
1120,877,Business,440453,13.67,48,2023-09-02
1121,1068,Personal,442948,14.96,18,2022-10-06
1122,1678,Auto,1979247,11.87,36,2023-10-07
1123,1350,Business,882001,13.33,48,2022-10-15
1124,235,Personal,300312,15.8,24,2022-11-17
1125,1179,Auto,952579,9.11,48,2022-12-07
1126,557,Personal,511021,17.04,120,2022-11-01
1127,303,Auto,259195,13.39,24,2023-01-23
1128,70,Business,1260498,15.12,48,2021-02-18
1129,1883,Business,1730563,14.45,60,2024-05-21
1130,263,Auto,935354,16.9,12,2021-03-23
1131,48,Business,1539069,12.93,60,2020-09-28
1132,28,Business,452903,17.5,36,2020-03-15
1133,1457,Home,255166,15.05,48,2020-12-08
1134,1165,Auto,485307,8.9,18,2022-01-18
1135,865,Home,602288,16.69,24,2022-06-02
1136,1649,Auto,1919592,17.88,18,2020-10-20
1137,758,Home,282610,14.63,24,2022-12-19
1138,1568,Auto,1496738,14.3,36,2023-06-04
1139,1993,Home,1215301,17.18,18,2023-06-08
1140,952,Personal,744465,10.82,60,2021-09-29
1141,103,Personal,1694879,11.91,18,2024-06-10
1142,769,Auto,150642,15.85,36,2022-01-01
1143,1691,Auto,110253,16.84,18,2022-01-22
1144,1919,Personal,1017676,17.88,12,2022-11-09
1145,1018,Personal,1163377,17.12,12,2021-06-09
1146,251,Personal,134263,17.52,24,2022-02-03
1147,1230,Auto,284777,17.4,12,2023-05-02
1148,1699,Personal,432252,8.67,60,2024-03-20
1149,227,Auto,986389,16.97,12,2021-04-08
1150,48,Business,1293532,14.4,24,2021-12-30
1151,362,Personal,765834,10.16,60,2020-02-20
1152,82,Auto,163851,16.84,120,2022-11-10
1153,966,Business,356952,13.37,12,2023-08-05
1154,788,Auto,1707333,15.72,120,2022-05-08
1155,983,Business,776151,12.53,36,2024-08-01
1156,1045,Business,1983682,10.0,24,2021-07-21
1157,517,Auto,1027896,17.24,18,2020-05-13
1158,1616,Home,160345,14.12,12,2024-09-01
1159,1986,Business,1983015,10.7,36,2024-01-21
1160,1013,Auto,1035814,14.45,60,2020-12-21
1161,759,Business,1025268,10.52,60,2021-04-19
1162,821,Home,110460,13.05,120,2023-07-17
1163,1680,Auto,721615,12.75,18,2021-09-17
1164,1743,Home,1328416,8.67,36,2022-07-25
1165,1065,Business,1327926,13.21,120,2021-10-11
1166,1677,Business,167335,9.0,120,2024-07-13
1167,346,Personal,1389433,8.69,36,2023-03-22
1168,298,Auto,1008690,12.27,18,2021-09-28
1169,1994,Home,1064040,8.1,24,2021-04-25
1170,1476,Personal,332469,15.19,18,2023-08-18
1171,1827,Auto,1242395,14.9,24,2023-01-21
1172,560,Personal,1245254,13.97,120,2020-03-15
1173,1388,Personal,894713,12.67,48,2024-10-16
1174,83,Home,809781,17.61,24,2020-06-03
1175,479,Personal,1734525,13.23,24,2020-06-10
1176,1365,Home,1609259,12.4,48,2021-10-29
1177,1097,Business,166570,12.19,18,2020-12-10
1178,266,Business,1837119,14.66,36,2022-12-05
1179,1929,Business,1711625,13.88,60,2022-01-22
1180,1994,Business,1110775,17.55,18,2024-05-24
1181,93,Home,286587,10.3,60,2020-06-02
1182,396,Personal,1122927,14.94,36,2022-07-10
1183,1019,Personal,1356186,15.33,12,2024-12-04
1184,823,Auto,1912247,9.19,36,2020-07-16
1185,1977,Home,1331465,11.89,12,2020-05-08
1186,784,Business,1430803,17.4,18,2022-03-01
1187,1734,Home,1917883,16.08,60,2020-04-06
1188,310,Personal,299437,9.47,120,2021-03-09
1189,1009,Auto,497053,12.12,36,2023-06-16
1190,464,Business,1029690,9.61,24,2022-11-09
1191,281,Business,1857955,16.8,120,2022-01-18
1192,398,Business,105470,14.25,48,2021-12-20
1193,881,Home,1810439,11.08,36,2021-12-21
1194,72,Personal,1028362,16.01,120,2020-04-19
1195,1008,Home,131279,9.92,120,2021-10-16
1196,1048,Business,1879463,13.98,12,2021-01-25
1197,1959,Business,1177955,10.68,36,2024-04-29
1198,770,Auto,1845445,13.15,18,2022-05-07
1199,1927,Home,327395,8.33,48,2023-08-13
1200,1743,Home,215158,9.37,60,2020-06-20
1201,193,Business,136166,15.44,36,2022-03-04
1202,1649,Business,864767,13.15,18,2024-08-31
1203,737,Home,1477689,12.89,48,2024-02-27
1204,1445,Personal,1590281,12.64,12,2020-07-08
1205,531,Auto,755569,13.73,18,2024-06-08
1206,68,Business,165046,16.05,120,2024-08-13
1207,699,Auto,703138,11.0,36,2024-09-02
1208,876,Personal,1964602,8.56,48,2020-03-15
1209,1224,Personal,1737599,9.61,60,2021-05-02
1210,212,Auto,1629584,8.16,18,2020-08-29
1211,1317,Personal,61393,16.21,120,2022-06-26
1212,1665,Business,760484,14.16,24,2023-09-21
1213,942,Auto,1897247,13.37,60,2022-08-28
1214,318,Business,1779353,14.93,18,2020-10-18
1215,237,Business,817182,11.8,24,2020-11-01
1216,1095,Personal,645986,9.8,120,2023-09-14
1217,194,Personal,333565,10.46,60,2021-03-12
1218,1618,Home,1691689,13.76,48,2021-12-13
1219,556,Auto,132591,8.05,12,2020-03-22
1220,765,Auto,1063702,13.37,12,2021-05-12
1221,1058,Business,1850828,12.76,12,2021-04-18
1222,519,Auto,1051696,16.0,120,2022-03-30
1223,1940,Home,1626365,13.39,36,2022-09-09
1224,1877,Auto,801637,15.21,60,2022-09-26
1225,1515,Personal,455128,12.59,36,2022-01-06
1226,750,Auto,1338435,16.69,18,2021-05-30
1227,927,Auto,619667,10.04,24,2022-07-23
1228,677,Auto,855393,8.82,120,2021-02-14
